,NAME,About,Price,Delivery Time,Stock_Avaibility,Offers,No._of_Reviews,Rating,Product_URL
11,"Acer Aspire 3 AMD Ryzen 3 3250U Processor 15.6"" (39.6 cms) Full HD Laptop - (8 GB/512 GB SSD/Windows 11 Home/AMD Radeon Graphics /1.9Kg/Silver) A315-23","About this item
Powerful and portable laptops for schools and colleges : Aspire 3 laptop delivers on every aspect of everyday computing. Featuring the new AMD Ryzen 3 3250U dual-core processor, the Aspire 3 A315-23 opens more possibilities than ever before—via performance, connectivity and entertainment.
Perfect laptop for every need : Aspire 3 packs a beautiful 15.6"" Full HD screen, solid performance and the Dual-Band WiFi into an attractive design that's easy to place in a backpack and carry everywhere you go
Ease of Storage : 8 GB RAM Laptop with 512GB PCIe NVMe SSD helps easily store and share important projects and data
Enhanced Video Conferencing and Good Battery Life : The Aspire 3 will help improve your all-round video conferencing experience. It maintains a strong, consistent wireless signal with the strategically placed Wi-Fi 5 (802.11ac) wireless antenna and MU-MIMO. It also offers battery life upto 8 hours.
Additional Features : The Laptop comes with Windows 10 Home and 1 year International Travellers Warranty.
Ports : IEEE 802.11ac, 1xGigabit Ethernet, Bluetooth 4.1, 1 xUSB2.0 port, 2 xUSB 3.2 Gen 1 ports , 1xHDMI, 1xheadphone/speaker jack; standard non-backlit keyboard. 2x Stereo speakers. 1xNetwork (RJ-45)
› See more product details","₹34,990.00","FREE delivery: Friday, May 6 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 51 mins Details",In stock.,"EMI starts at ₹1,647. No Cost EMI available EMI options",74 ratings,4.1 out of 5,https://www.amazon.in/Acer-Aspire-Ryzen-Processor-Laptop/dp/B09S3RRTPH/ref=sr_1_9?keywords=Laptop&qid=1651655445&sr=8-9
12,--,--,--,--,--,--,--,--,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_10?keywords=Laptop&qid=1651655445&sr=8-10
13,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02156791DAHTYFVGL5NS&url=%2FASUS-VivoBook-i5-1035G1-Integrated-X415JA-EB501WS%2Fdp%2FB09RQL25ZB%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-11-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_mtf
14,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A021589130WMANDNY8XMW&url=%2FASUS-VivoBook-i3-1005G1-Integrated-X415JA-BV301W%2Fdp%2FB09RQM1HHN%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-12-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_mtf
15,--,--,--,--,--,--,--,--,https://www.amazon.in/Lenovo-IdeaPad-Windows-Warranty-82H801L7IN/dp/B09NP4KXMS/ref=sr_1_13?keywords=Laptop&qid=1651655445&sr=8-13
16,--,--,--,--,--,--,--,--,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-Graphics-15s-du3517TU/dp/B09PBTLW9F/ref=sr_1_14?keywords=Laptop&qid=1651655445&sr=8-14
17,--,--,--,--,--,--,--,--,https://www.amazon.in/Honor-MagicBook-Anti-Glare-Fingerprint-NobelBR-WAI9B/dp/B09VPS41Z8/ref=sr_1_15?keywords=Laptop&qid=1651655445&sr=8-15
18,--,--,--,--,--,--,--,--,https://www.amazon.in/ASUS-VivoBook-i3-1115G4-Integrated-X415EA-EK372WS/dp/B09S6S6FFL/ref=sr_1_16?keywords=Laptop&qid=1651655445&sr=8-16
19,--,--,--,--,--,--,--,--,https://www.amazon.in/Notebook-resolution-i5-11300H-15-6-inch-Fingerprint/dp/B098XK9BPC/ref=sr_1_17?keywords=Laptop&qid=1651655445&sr=8-17
20,--,--,--,--,--,--,--,--,https://www.amazon.in/ASUS-VivoBook-i7-1065G7-Integrated-X415JA-EK701WS/dp/B09LJ4VLHH/ref=sr_1_18?keywords=Laptop&qid=1651655445&sr=8-18
21,--,--,--,--,--,--,--,--,https://www.amazon.in/Microsoft-i5-1035G1-Touchscreen-Graphics-THH-00023/dp/B08SX5XVBK/ref=sr_1_19?keywords=Laptop&qid=1651655445&sr=8-19
22,--,--,--,--,--,--,--,--,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB01E9IN/dp/B09Q57SYQF/ref=sr_1_20?keywords=Laptop&qid=1651655445&sr=8-20
23,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A028702117CRB4FV0UCAG&url=%2FASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W%2Fdp%2FB09SGGB687%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-21-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_btf
24,--,--,--,--,--,--,--,--,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02154913SVNNI7X72B8V&url=%2FASUS-VivoBook-i3-10110U-39-62cms-X515FA-EJ311TS%2Fdp%2FB09N9P9TWG%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DLaptop%26qid%3D1651655445%26sr%3D8-22-spons%26psc%3D1&qualifier=1651655445&id=6046624847017655&widgetName=sp_btf
